"Name" "Nationality"
"Kurt Zouma" "FRA"
"Nathan Aké" "NED"
"Gary Cahill" "ENG"
"John Terry" "ENG"
"César Azpilicueta" "ESP"
"Andreas  Christensen" "DEN"
"Cesc Fàbregas" "ESP"
"Ramires" "BRA"
"Oscar" "BRA"
"Eden Hazard" "BEL"
"John Obi Mikel" "NGA"
"André Schürrle" "GER"
"Nemanja Matic" "SRB"
"Willian" "BRA"
"Jeremie Boga" "FRA"
"Ruben Loftus-Cheek" "ENG"
"Didier Drogba" "CIV"
"Mohamed Salah" "EGY"
"Loïc Rémy" "FRA"
"Diego Costa" "ESP"
"Juan Cuadrado" "COL"
"Lewis Baker" "ENG"
"Dominic Solanke" "ENG"
"Isaiah Brown" "ENG"
"José Mourinho" "POR"
"Ralf Fährmann" "GER"
"Christian Wetklo" "GER"
"Janik Schilder" "GER"
"Fabian Giefer" "GER"
"Timon Wellenreuther" "GER"
"Marvin Friedrich" "GER"
"Jan Kirchhoff" "GER"
"Benedikt Höwedes" "GER"
"Felipe Santana" "BRA"
"Sead Kolašinac" "BIH"
"Dennis Aogo" "GER"
"Axel Borgmann" "GER"
"Atsuto Uchida" "JPN"
"Christian Fuchs" "AUT"
"Kaan Ayhan" "TUR"
"Matija Nastasic" "SRB"
"Joël Matip" "CMR"
"Marcel Sobottka" "GER"
"Pascal Itter" "GER"
"Max Meyer" "GER"
"Leon Goretzka" "GER"
"Kevin-Prince Boateng" "GHA"
"Julian Draxler" "GER"
"Christian Clemens" "GER"
"Marco Höger" "GER"
"Sidney Sam" "GER"
"Tranquillo Barnetta" "SUI"
"Roman Neustädter" "GER"
"Thilo Kehrer" "GER"
"Eric Maxim Choupo-Moting" "CMR"
"Maurice Multhaup" "GER"
"Jefferson Farfán" "PER"
"Leroy Sané" "GER"
"Chinedu Obasi" "NGA"
"Klaas-Jan Huntelaar" "NED"
"Donis Avdijaj" "GER"
"Felix Platte" "GER"
"Joy-Lance Mickels" "GER"
"Roberto Di Matteo" "ITA"
"Aljaž Cotman" "SVN"
"Marino Hamer" "SVN"
"Žan Vidic" "SVN"
"Jasmin Handanovic" "SVN"
"Matko Obradovic" "CRO"
"Marko Šuler" "SVN"
"Aleš Mejac" "SVN"
"Damjan Vukliševic" "SVN"
"Dejan Trajkovski" "SVN"
"Aleksander Rajcevic" "SVN"
"Mitja Viler" "SVN"
"Petar Stojanovic" "SVN"
"Matej Filipovic" "SVN"
"Žiga Živko" "SVN"
"Arghus" "ITA"
"Željko Filipovic" "SVN"
